Player,ADP (31-)
Phil Smith,258.91
Isaiah Thomas,259.07
Bo Outlaw,259.08
Yao Ming,259.13
Jon McGlocklin,259.45
Roger Brown,260.08
Raja Bell,260.23
Kenny Anderson,260.29
Fred Brown,260.58
Michael Porter Jr.,265.41
Robert Williams,268.09
James Posey,269.54
Bob Love,269.88
Brandon Ingram,271.18
Jaden McDaniels,271.55
Gary Harris,271.63
Brad Miller,274.55
Herb Jones,275.69
Kerry Kittles,276.26
Elvin Hayes,277.78
Malcolm Brogdon,277.88
Richard Jefferson,278.19
Randy Smith,279.74
Jerome Kersey,280.04
JJ Redick,280.30
Alex Caruso,280.36
Steve Francis,280.87
Nate McMillan,281.82
Wesley Person,281.86
Trevor Ariza,286.99
Joe Ingles,287.15
Dan Roundfield,289.44
Buck Williams,290.84
Wes Unseld,291.68
Allan Houston,292.50
PJ Brown,293.31
Terry Cummings,293.52
Scottie Barnes,293.64
LaMarcus Aldridge,293.88
Mike Bibby,294.18
Ralph Sampson,294.45
Mike Miller,294.64
Domantas Sabonis,294.66
Serge Ibaka,294.89
Caron Butler,296.10
Gail Goodrich,296.62
Rajon Rondo,296.67
Thabo Sefolosha,296.82
Jerry Lucas,297.72
Drazen Petrovic,298.01
Rod Strickland,298.65
Otis Birdsong,298.83
Jalen Suggs,299.29
Deandre Ayton,300.07
Theo Ratliff,300.59
Darrell Armstrong,300.76
Johnny Moore,300.85
Doc Rivers,301.71
Bill Laimbeer,302.45
Jerry Sloan,302.50
Nicolas Claxton,302.70
JR Smith,303.37
Dorian Finney-Smith,303.40
Jae Crowder,304.59
Clifford Ray,304.78
Kenyon Martin,305.37
Alvin Robertson,305.95
Kentavious Caldwell-Pope,306.14
Marcus Camby,306.16
Greg Ballard,306.26
Phil Chenier,308.11
Jim Paxson,308.40
Pete Maravich,308.41
Bryon Russell,309.52
Duncan Robinson,310.35
Trey Murphy,310.85
Derrick Coleman,311.10
Jerami Grant,311.26
Walt Bellamy,311.40
Willie Wise,311.71
Myles Turner,311.82
Rodney McCray,312.22
Tony Allen,312.38
Louie Dampier,312.38
Micheal Ray Richardson,312.50
Tom Chambers,312.58
Derrick McKey,312.90
John Salley,313.04
Mickey Johnson,313.09
John Collins,313.19
Larry Johnson,313.36
Anthony Mason,313.81
Dejounte Murray,313.86
Anthony Parker,314.21
Andrew Bynum,314.32
Kendall Gill,314.78
Danilo Gallinari,314.88
Julius Randle,314.88
Paul Silas,314.93
Bob Cousy,314.93
Paolo Banchero,315.00
Danny Manning,315.03
Clint Capela,315.29
James Silas,315.44
Quinn Buckner,315.54
Gary Payton II,315.69
Larry Kenon,315.74
Kevin Martin,315.94
Nene Hilario,316.13
Darryl Dawkins,316.15
Mark Aguirre,316.31
Joe Harris,316.31
Richie Guerin,316.77
DeMarcus Cousins,316.87
Nick Anderson,316.87
Mo Williams,317.12
Bruce Bowen,317.22
Tom Boerwinkle,317.28
Jason Richardson,317.43
CJ McCollum,317.79
Ben Simmons,317.99
Arron Afflalo,317.99
Earl Monroe,318.09
Spencer Haywood,318.14
George McGinnis,318.19
Mark Eaton,318.24
Sidney Wicks,318.24
Billy Knight,318.30
DeAndre Jordan,318.40
Norm Van Lier,318.45
Marvin Williams,318.50
Chuck Person,318.60
Buddy Hield,318.60
Zydrunas Ilgauskas,318.65
Glenn Robinson,318.70
Jusuf Nurkic,318.76
Nikola Vucevic,318.76
Charlie Ward,318.76
Ben Gordon,318.86
Joe Caldwell,318.86
Donyell Marshall,318.91
Ricky Pierce,318.91
Maurice Lucas,318.91
Ray Williams,318.91
Adrian Dantley,318.96
Antawn Jamison,318.96
Stephon Marbury,318.96
Carlos Boozer,318.96
Jameer Nelson,318.96
Andre Roberson,318.96
Dana Barros,318.96
World B. Free,318.96
Dolph Schayes,318.96
Sean Elliott,318.96
DeMar DeRozan,318.96
Ryan Anderson,318.96
Cedric Maxwell,318.96
Zach Randolph,318.96
Andre Miller,318.96
Larry Hughes,318.96
Bill Sharman,318.96
Ty Lawson,318.96
Dan Issel,318.96
Xavier McDaniel,318.96
Derek Anderson,318.96
Mike Dunleavy,318.96
Raef LaFrentz,318.96
Channing Frye,318.96
Zelmo Beaty,318.96
Dave Bing,318.96
Shareef Abdur-Rahim,318.96
Calvin Murphy,318.96
Lonnie Shelton,318.96
Lenny Wilkens,318.96
Maurice Stokes,318.96
Micheal Williams,318.96
Jose Calderon,318.96
Jack Twyman,318.96
Bill Bridges,318.96
Dell Curry,318.96
Wil Jones,318.96
Archie Clark,318.96
Bobby Simmons,318.96
John Starks,318.96
Mel Daniels,318.96
Hot Rod Williams,318.96
Jalen Rose,318.96
Terry Mills,318.96
Bill Cartwright,318.96
Eddie Johnson,318.96
Charles Oakley,318.96
KC Jones,318.96
Calvin Natt,318.96
